"","numero","refugio","municipio","direccion","uso_inmueble","servicios","capacidad","latitud","longitud","altitud","responsable","telefono","latitud_decimal","longitud_decimal"
"81-102.13",93,"CASINO “SUPERIOR”","COMPOSTELA","ZACUALPAN","RECREATIVO","AGUA, SANITARIOS Y LUZ ELECTRICA",600,"21º14'59.73""","105º09'52.84""",15,"FELIPE ENRÍQUEZ","327-2730030",21.249925,-105.164677777778
"81-102.14",94,"SALON EJIDAL","COMPOSTELA","ZACUALPAN","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",600,"21º15'00.56""","105º09'59.65""",15,"C. SAUL SALAZAR RISTRA ","327-2730135",21.2501555555556,-105.166569444444
"81-102.15",95,"CENTRO DE ATENCION MULTIPLES NO. 9","COMPOSTELA","LAS VARAS","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",1000,"21º10'42.26""","105º08'37.08""",20,"CARLOS FELIX AGUILAR ","311-1229148",21.1784055555556,-105.143633333333
"81-102.16",96,"SALON EJIDAL","COMPOSTELA","PEÑITA DE JALTEMBA","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",200,"21º02'33.94""","105º14'50.58""",1,"C. GENARO GOMEZ DIAZ ","327-9782022",21.0427611111111,-105.247383333333
"81-102.17",97,"ESCUELA PRIMARIA  “HOMBRES ILUSTRES""","COMPOSTELA","PEÑITA DE JALTEMBA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",300,"21º02'09.28""","105º14'49.43""",1,"DIRECTOR DEL PLANTEL","327-2740065",21.0359111111111,-105.247063888889
"81-102.18",98,"JARDÍN DE NIÑOS “FERNANDO MONTES DE OCA” ","COMPOSTELA","PEÑITA DE JALTEMBA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",200,"21º02'11.28""","105º14'50.20""",1,"DIRECTOR DEL PLANTEL","327-2741829",21.0364666666667,-105.247277777778
"81-102.19",99,"ESCUELA PRIMARIA  “EMILIANO ZAPATA”","COMPOSTELA","RINCON DE GUAYABITOS","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",200,"21º01'34.02","105º15'54.00""",5,"C. JORGE A. QUINTERO M.","322-164539",21.0261166666667,-105.265
"81-102.20",100,"EDIFICIO DE LA IGLESIA","COMPOSTELA","PASO DE LAS PALMAS","RELIGIOSOS","AGUA, SANITARIOS Y LUZ ELECTRICA",60,"21º11'45.36""","105º08'24.32""",20,"C. ELVIA FLORES SANCHEZ ","327-27282162",21.1959333333333,-105.140088888889
"81-102.21",101,"ESCUELA PRIMARIA  “LAZARO CARDENAS”","COMPOSTELA","PASO DE LAS PALMAS","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",200,"21º11'34.96""","105º08'28.74""",20,"C. DIANA FRANCO MARTINEZ ","327-2722219",21.1930444444444,-105.141316666667
"81-102.22",102,"PRESIDENCIA MUNICIPAL","RUIZ","CALLE HIDALGO 214 (COL .CENTRO)","GOBIERNO MUNICIPAL","AGUA, SANITARIOS Y LUZ ELECTRICA",200,"21º57'01.16""","105º08'42.83""",20,"LIBRADO CASAS LEDEZMA ","319-2330150",21.9503222222222,-105.145230555556
"103-122.1",103,"DIF MUNICIPAL","RUIZ","LAURELES Y GONGORA, VERACRUZ Y MEXICO","GOBIERNO MUNICIPAL","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"21º56'59.41""","105º08'41.38""",20,"MARICELA OCHO GARCIA","PCM: 319-2331673               NEXTEL 164-3043",21.9498361111111,-105.144827777778
"103-122.2",104,"ESC. GRAL. MARIANO RUIZ ","RUIZ","AMADO NERVO NO. 23 COL. CENTRO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",240,"21º57'06.47""","105º08'38.39""",20,"DIR. RAMON ANTONIO TORRES SALGADO","319-2331462",21.9517972222222,-105.143997222222
"103-122.3",105,"ESC. SEC. NIÑOS HEROES","RUIZ","DR. SALAZAR Y GALEANA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",360,"21º56'52.71""","105º08'40.55""",20,"DIR. MALAQUIAS GARCIA MEDINA ","319-2330361",21.947975,-105.144597222222
"103-122.4",106,"ESC. PRIMARIA ""SOR JUANA INES DE LA CRUZ""","RUIZ","QUERETARO Y FRANCISCO I. MADERO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",40,"21º56'51.88""","105º08'49.25""",20,"MARTHA LORENA BARRON JAIME","PCM: 319-2331673               NEXTEL 164-3043",21.9477444444444,-105.147013888889
"103-122.5",107,"CLINICA DEL IMSS","RUIZ","GUADALAJARA NO. 6","SALUD","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"21º57'00.33""","105º08'40.48""",20,"ELEODORO JIMENEZ RODRIGUEZ","PCM: 319-2331673               NEXTEL 164-3043",21.9500916666667,-105.144577777778
"103-122.6",108,"CENTRO DE SALUD","RUIZ","GUADALAJARA ESQ. AMADO NERVO","SALUD","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"21º56'59.33","105º08'46.32""",20,"MIGUEL ANGEL GALINDO RODRIGUEZ","PCM: 319-2331673               NEXTEL 164-3043",21.9498138888889,-105.1462
"103-122.7",109,"ESC. CECYTEN","RUIZ","CARRETARA RUIZ - EL VENADO KM. 2.5","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",270,"21º56'53.25""","105º09'08.21",20,"JUAN GABRIEL GONZALEZ VILLALOBOS","PCM: 319-2331673               NEXTEL 164-3043",21.948125,-105.152280555556
"103-122.8",110,"ESCUELA PRIMARIA “FRANCISCO VILLA”","RUIZ"," COL. TIJUANITA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",210,"21º57'10.16""","105º07'59.30""",25,"EFRAIN IBARRA DELGADO","PCM: 319-2331673               NEXTEL 164-3043",21.9528222222222,-105.133138888889
"103-122.9",111,"ESC. JOSE GUADALUPE NAJERA","RUIZ","EMILIA GALLEGOS No. 39 NTE.","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",600,"21º57'41.74""","105º08'56.65""",25,"VELIA RODRIGUEZ IZAR","PCM: 319-2331673               NEXTEL 164-3043",21.9615944444444,-105.149069444444
"103-122.10",112,"ESC. REY NAYAR","RUIZ","MANUEL LOZADA Y PUEBLA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",300,"21º57'27.02""","105º08'49.83""",20,"VICTOR MANUEL PEREZ GONZALEZ","PCM: 319-2331673               NEXTEL 164-3043",21.9575055555556,-105.147175
"103-122.11",113,"SALON EJIDAL","RUIZ","GUANAJUATO NO. 2 COL. SAN ANTONIO","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"21º57'10.19""","105º08'28.81""",30,"ISRAEL MORA ESTRADA","PCM: 319-2331673               NEXTEL 164-3043",21.9528305555556,-105.141336111111
"103-122.12",114,"ESCUELA GENERAL LAZARO CARDENAS","RUIZ","ALVARO OBREGON NO. 202 NTE. COL. TALPITA ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",150,"21º56'39.18""","105º09'17.88""",20,"DIRECTOR DEL PLANTEL ","319-2322102",21.9442166666667,-105.154966666667
"103-122.13",115,"PREPARATORIA No. 11","RUIZ","PROL. AV. JUAREZ S/N","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",240,"21º57'14.51""","105º08'22.67""",20,"JOSE DE LEON CHAVEZ","PCM: 319-2331673               NEXTEL 164-3043",21.9540305555556,-105.139630555556
"103-122.14",116,"ESC. PRIMARIA “ JOSÉ MARÍA MERCADO”","SAN BLAS","MICHOACÁN Y JOSÉ MARÍA MERCADO ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",400,"21º32'27.00""","105º17'09.57""",10,"JUAN MARTIN GARCIA DIAZ","323-285-11-76",21.5408333333333,-105.285991666667
"103-122.15",117,"ESC. SEC. FED.  “JOSÉ MARÍA MERCADO”","SAN BLAS","ECHEVERRÍA ESQUINA YUCATÁN ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",300,"21º32'38.41","105º17`05.83""",10,"DIRECTOR DEL PLANTEL","323-2850814",21.5440027777778,-105.284952777778
"103-122.16",118,"CENTRO DE ESTUDIOS TÉCNICOS DEL MAR","SAN BLAS","AV. TENIENTE AZUETA S/N SUR ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",360,"21º32'04.47""","105º17'02.61""",10,"JOSE TRINIDAD ULLOA","PCM: 323-2850302       323-285-04-94",21.534575,-105.284058333333
"103-122.17",119,"ESCUELA PRIMARIA  “FRAY JUNIPERO SERRA”","SAN BLAS","SONORA No. 152 ORIENTE","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",360,"21º32'37.75""","105º16'57.37""",10,"DIRECTOR DEL PLANTEL","323-2850349",21.5438194444444,-105.282602777778
"103-122.18",120,"ESCUELA PREPARATORIA No. 12","SAN BLAS","BRAVO Y YUCATÁN S/N ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",120,"21º32'39.11""","105º17'03.63""",10,"RAMON MERCADO CALDERON","PCM: 323-2850302       323-285-11-36     CEL. 045323-729-01-29",21.5441972222222,-105.284341666667
"103-122.19",121,"SALON EJIDAL","SAN BLAS","ECHEVERRÍA S/N SUR ","EJIDAL","AGUA Y LUZ ELECTRICA",100,"21º32'26.952","105º17'04.49""",10,"COMISARIADO EJIDAL","PCM: 323-2850302       CEL. 045323-1050294",21.5408194444444,-105.284580555556
"103-122.20",122,"HOTEL “MARINO”","SAN BLAS","AV. H. BATALLÓN DE SAN BLAS ESQUINA ISLITAS ","HOSPEDAJE","AGUA, SANITARIOS Y LUZ ELECTRICA",236,"21º32'13.53""","105º16'58.30""",10,"MARTÍN LIZARRAGA GARCÍA","323-2850303",21.5370916666667,-105.282861111111
"123-142.1",123,"HOTEL “FLAMINGOS”","SAN BLAS","AV. JUÁREZ No. 105 PONIENTE","HOSPEDAJE","AGUA, SANITARIOS Y LUZ ELECTRICA",336,"21º32'25.78""","105º17'18.70""",10,"AMAYA FLETES DE LA GARZA","323-2850485",21.5404944444444,-105.288527777778
"123-142.2",124,"HOTEL “POSADAS DEL REY”","SAN BLAS","CAMPECHE No. 140 PONIENTE ","HOSPEDAJE","AGUA, SANITARIOS Y LUZ ELECTRICA",40,"21º32'14.99""","105º17'14.25""",10,"MARTHA CRUZ GOMEZ","323-2850123",21.5374972222222,-105.287291666667
"123-142.3",125,"HOTEL “GARZA CANELA”","SAN BLAS","PAREDES No. 106 SUR ","HOSPEDAJE","AGUA, SANITARIOS Y LUZ ELECTRICA",180,"21º32'15.68""","105º17'09.64""",10,"JOSEFINA VÁZQUEZ GONZÁLEZ","323-2850112",21.5376888888889,-105.286011111111
"123-142.4",126,"HOTEL “MARINA SAN BLAS""","SAN BLAS","AV. JUÁREZ No. 75 PONIENTE ","HOSPEDAJE","AGUA, SANITARIOS Y LUZ ELECTRICA",140,"21º32'10.58""","105º16'59.01""",10,"MARCO ANTONIO VERCELLINO ACOSTA","323-2851437",21.5362722222222,-105.283058333333
"123-142.5",127,"ESC. PRIMARIA “RICARDO FLORES MAGÓN”","SAN BLAS","LAURELES Y GONGORA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",60,"21º39'34.60""","105º22'02.86""",10,"DIRECTOR DEL PLANTEL","323-2370199                               323-2370202",21.6596111111111,-105.367461111111
"123-142.6",128,"ESCUELA PRIMARIA “GENERAL ANAYA”","SAN BLAS","LA CULEBRA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",180,"21º42'39.20""","105º17'16.52""",10,"DIRECTOR DEL PLANTEL","323-2351265                              323-2354667",21.7108888888889,-105.287922222222
"123-142.7",129,"ESCUELA PRIMARIA “FRANCISCO I. MADERO”","SAN BLAS","ISLA DEL CONDE","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",80,"21º39'46.24""","105º21'42.62""",10,"DIRECTOR DEL PLANTEL","323-2370220                           323-2370584",21.6628444444444,-105.361838888889
"123-142.8",130,"ESC. PRIMARIA “FELIPE CARRILLO PUERTO”","SAN BLAS","PLAYA RAMIREZ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",60,"21º40'05.86""","105º21'32.22""",10,"DIRECTOR DEL PLANTEL","323-2370147",21.6682944444444,-105.35895
"123-142.9",131,"ESCUELA PRIMARIA “AQUILES SERDÁN”","SAN BLAS","GUADALUPE VICTORIA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",320,"21º40'47.36""","105º19'39.66""",10,"VICTOR TALAVERA MALDONADO                NELY ARACELI DE HARO LOPEZ","323-105-76-38",21.6798222222222,-105.327683333333
"123-142.10",132,"ESCUELA C.B.T.A.","SAN BLAS","GUADALUPE VICTORIA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",120,"21º40'47.36""","105º19'39.66""",10,"HIPOLITO LOPEZ ALBA","323-237-03-51",21.6798222222222,-105.327683333333
"123-142.11",133,"ESCUELA PRIMARIA “GUADALUPE VICTORIA”","SAN BLAS","LA GOMA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",200,"21º43'00.52""","105º16'31.88""",10,"DIRECTOR DEL PLANTEL","323-2351918",21.7168111111111,-105.275522222222
"123-142.12",134,"ESCUELA PRIMARIA “20 DE NOVIEMBRE”","SAN BLAS","AUTAN","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",140,"21º41'24.36""","105º18'26.66""",10,"MARCO ANTONIO VALENZUELA VELAZQUEZ","323-108-18-05",21.6901,-105.307405555556
"123-142.13",135,"ESCUELA SECUNDARIA TÉCNICA ","SAN BLAS","AUTAN","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",200,"21º41'24.36""","105º18'26.66""",10,"DIRECTOR DEL PLANTEL","323-2370101",21.6901,-105.307405555556
"123-142.14",136,"SALON EJIDAL","SAN BLAS","AUTAN","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",300,"21º41'24.36""","105º18'26.66""",10,"RAUL PLANTILLAS SARTIAGUIN","323-237-02-09",21.6901,-105.307405555556
"123-142.15",137,"ESCUELA PRIMARIA “JUAN ESCUTIA”","SAN BLAS","EL CARLEÑO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",150,"21º41'37.26""","105º19'21.24""",10,"DIRECTOR DEL PLANTEL","323-2351298",21.6936833333333,-105.322566666667
"123-142.16",138,"ESC. SEC. TÉCNICA No. 3 “TIERRA Y LIBERTAD”","SAN BLAS","GUADALUPE VICTORIA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",300,"21º40'47.36""","105º19'39.66""",10,"DIRECTOR DEL PLANTEL","323-2370174",21.6798222222222,-105.327683333333
"123-142.17",139,"SALON EJIDAL","SAN BLAS","GUADALUPE VICTORIA","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",200,"21º40'47.36""","105º19'39.66""",10,"COMISARIADO EJIDAL","323-2370297",21.6798222222222,-105.327683333333
"123-142.18",140,"TELESECUNDARIA “REFUGIO GONZÁLEZ”","SAN BLAS","LA GOMA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",60,"21º43'00.52""","105º16'31.88""",10,"DIRECTOR DEL PLANTEL","323-2354668",21.7168111111111,-105.275522222222
"123-142.19",141,"TELESECUNDARIA","SAN BLAS","EL CARLEÑO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",30,"21º41'37.26""","105º19'21.24""",10,"DIRECTOR DEL PLANTEL","323-2354665",21.6936833333333,-105.322566666667
"123-142.20",142,"ESCUELA PRIMARIA “CARRILLO PUERTO”","SAN BLAS","PIMIENTILLO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",250,"21º40'52.36""","105º21'10.88""",10,"DIRECTOR DEL PLANTEL","323-2351920",21.6812111111111,-105.353022222222
"143-162.1",143,"TELESECUNDARIA “ALBINO LÓPEZ GARCÍA”","SAN BLAS","PIMIENTILLO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",40,"21º40'52.36""","105º21'10.88""",10,"DIRECTOR DEL PLANTEL","323-2351920",21.6812111111111,-105.353022222222
"143-162.2",144,"TELESECUNDARIA “ANTONIO CANO ALATORRE”","SAN BLAS","CHACALILLA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",80,"21º37'09.10""","105º16'04.38""",60,"DIRECTOR DEL PLANTEL","323-2350570",21.6191944444444,-105.267883333333
"143-162.3",145,"ESCUELA PRIMARIA “JOSÉ MARÍA MERCADO”","SAN BLAS","CHACALILLA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",150,"21º37'09.10""","105º16'04.38""",60,"DIRECTOR DEL PLANTEL","323-2354663",21.6191944444444,-105.267883333333
"143-162.4",146,"ESCUELA PRIMARIA “AMADO NERVO”","SAN BLAS","EL CAPOMO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",120,"21º40'16.88""","105º15'23.24""",10,"DIRECTOR DEL PLANTEL","323-2350048",21.6713555555556,-105.256455555556
"143-162.5",147,"TELESECUNDARIA “JOSÉ R. GÓMEZ”","SAN BLAS","EL CAPOMO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",20,"21º40'16.88""","105º15'23.24""",10,"DIRECTOR DEL PLANTEL","323-2354664",21.6713555555556,-105.256455555556
"143-162.6",148,"SALON EJIDAL","SAN BLAS","EL CAPOMO","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"21º40'16.88""","105º15'23.24""",10,"COMISARIADO EJIDAL","323-2350048",21.6713555555556,-105.256455555556
"143-162.7",149,"ESCUELA PRIMARIA","SAN BLAS","LA CHIRIPA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",60,"21º37'31.56""","105º18'43.66""",10,"DIRECTOR DEL PLANTEL","PCM: 323-2850302       CEL. 045323-1050294",21.6254333333333,-105.312127777778
"143-162.8",150,"ESCUELA PRIMARIA “18 DE MARZO”","SAN BLAS","NAVARRETE","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",300,"21º38'50.72""","105º06'55.60""",75,"DIRECTOR DEL PLANTEL","327-2349835",21.6474222222222,-105.115444444444
"143-162.9",151,"ESCUELA SECUNDARIA TÉCNICA “JUAN ESCUTIA”","SAN BLAS","NAVARRETE","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",280,"21º38'50.72""","105º06'55.60""",75,"DIRECTOR DEL PLANTEL","327-2349836                             327-2349837",21.6474222222222,-105.115444444444
"143-162.10",152,"ESCUELA PRIMARIA “NIÑOS HÉROES”","SAN BLAS","SANTA CRUZ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",150,"21º38'50.72""","105º06'55.60""",75,"EULALIO DELGADILLO QUIÑONES","323-2544358",21.6474222222222,-105.115444444444
"143-162.11",153,"ESCUELA CECYTEN","SAN BLAS","SANTA CRUZ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",150,"21º25'57.22""","105º11'52.38""",10,"SANDRA LUZ SOTO PEREZ","323-2549033",21.4325611111111,-105.197883333333
"143-162.12",154,"ESCUELA SECUNDARIA TECNICA NO. 31","SAN BLAS","SANTA CRUZ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"21º25'57.22""","105º11'52.38""",10,"KARINA JUDITH MEZA GONZALEZ","327-978-18-30            327-978-18-29",21.4325611111111,-105.197883333333
"143-162.13",155,"SALON EJIDAL","SAN BLAS","SANTA CRUZ","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"21º25'57.22""","105º11'52.38""",10,"JUAN FRANCISCO ARIAS","327-102-41-13",21.4325611111111,-105.197883333333
"143-162.14",156,"JARDIN DE NIÑOS FRANCISCO VILLEGAS","SAN BLAS","EL LLANO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",50,"21º25'08.10""","105º10'43.68""",30,"LEONARDO GONZALEZ CELAYA","323-2549088",21.4189166666667,-105.1788
"143-162.15",157,"TELESECUNDARIA  MOISES MOLINA","SAN BLAS","EL LLANO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",150,"21º25'08.10""","105º10'43.68""",30,"EDELMIRA TORRES                RAFAEL ANTONIO PORTILLO","323-2549095",21.4189166666667,-105.1788
"143-162.16",158,"ESCUELA SECUNDARIA MOISES SAENZ GARZA","SAN BLAS","JALCOCOTAN","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",250,"21º28'45.32""","105º06'00.38""",440,"MANUEL SANTANA AGUILAR","327-231-06-30",21.4792555555556,-105.100105555556
"143-162.17",159,"CEBETA EXTENCION JALCOCOTAN","SAN BLAS","JALCOCOTAN","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"21º28'45.32""","105º06'00.38""",440,"EZEQUIEL MEDINA RANGEL","327-231-06-52",21.4792555555556,-105.100105555556
"143-162.18",160,"PREPARATORIA GRUPO PERIFERICO DE MECATAN","SAN BLAS","MECATAN","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",200,"21º32'11.58""","105º07'09.33""",300,"JOSE HERNANDEZ ZUÑIGA","327-105-46-93",21.53655,-105.119258333333
"143-162.19",161,"JARDIN DE NIÑOS FEDERICO FROEBEL","SAN BLAS","MECATAN","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",150,"21º32'11.58""","105º07'09.33""",300,"MARGARITA RAMOS TAPIA","327-2318153",21.53655,-105.119258333333
"163-182.1",163,"ESCUELA SECUNDARIA GENERAL AMADO NERVO","SAN BLAS","MECATAN","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",150,"21º32'11.58""","105º07'09.33""",300,"CONCEPCION MEDINA PANUCO","311-135-20-75",21.53655,-105.119258333333
"163-182.2",164,"ESCUELA LAZARO CARDENAS","SAN PEDRO LAGUNILLAS","ENTRE MATAMOROS Y CONSTITUCION","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",288,"21º12'56.02""","104º45'14.72""",1300,"PROFR. JOSE RUIZ RAMIREZ","327-2585655",21.2155611111111,-104.754088888889
"163-182.3",165,"CENTRO SOCIAL EL PADRINO","SAN PEDRO LAGUNILLAS","CARLOS PACHECO S/N","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",350,"21º13'11.20""","104º45'07.04""",1300,"PEDRO CANISIO PEÑA V. ","PCM: 327-2585036  2585004  CEL. 311-1148500",21.2197777777778,-104.751955555556
"163-182.4",166,"C.B.T.A. No. 107","SAN PEDRO LAGUNILLAS","CARRETERA CHAPALILLA KM. 12 ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",691,"21º12'30.86""","104º45'36.55""",1300,"ING. RAMIRO VIDRIO","327-2585288",21.2085722222222,-104.760152777778
"163-182.5",167,"ESCUELA PRIMARIA REVOLUCION ","SAN PEDRO LAGUNILLAS","FRENTE AL CUADRO DE PALACIO MUNICIPAL","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",295,"21º13'16.05""","104º45'04.20""",1300,"PROFR. FELIPE BUENO","327-2585441",21.221125,-104.751166666667
"163-182.6",168,"ESC. SEC. TECNICA NO. 10","SAN PEDRO LAGUNILLAS","AV. TEREBINTOS PROL. HIDALGO.","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",178,"21º12'43.83""","104º45'22.30""",1300,"PROFR. ADOLFO RUIZ","PCM: 327-2585036  2585004  CEL. 311-1148500",21.212175,-104.756194444444
"163-182.7",169,"SALON EJIDAL","SAN PEDRO LAGUNILLAS","AMADO NERVO","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",63,"21º04'54.20""","104º43.52.56""",800,"JESUS RODRIGUEZ MEZA","327-2581173  327-2581174",21.0817222222222,-104.731266666667
"163-182.8",170,"ESCUELA PRIMARIA","SAN PEDRO LAGUNILLAS","AMADO NERVO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",40,"21º04'54.20""","104º43.52.56""",800,"PROFRA. MARBELLA SALAS CARVAJAL","327-2581173  327-2581174",21.0817222222222,-104.731266666667
"163-182.9",171,"ESCUELA SECUNDARIA","SAN PEDRO LAGUNILLAS","AMADO NERVO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"21º04'54.20""","104º43.52.56""",800,"PROFR. JOSE FLORES CORTES","327-2581173  327-2581174",21.0817222222222,-104.731266666667
"163-182.10",172,"JARDIN DE NIÑOS AMADO NERVO","SAN PEDRO LAGUNILLAS","AMADO NERVO","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",30,"21º04'54.20""","104º43.52.56""",800,"PROFRA. PATRICIA PEÑA PLANCARTE","327-2581173  327-2581174",21.0817222222222,-104.731266666667
"163-182.11",173,"SALON EJIDAL","SAN PEDRO LAGUNILLAS","CUASTECOMATE","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",96,"21º02'36.36""","104º45'11.96""",720,"JUVENTINO ZUÑIGA ACOSTA","200-1268578",21.0434333333333,-104.753322222222
"163-182.12",174,"ESCUELA PRIMARIA MIGUEL HIDALGO","SAN PEDRO LAGUNILLAS","CUASTECOMATE","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",177,"21º02'36.36""","104º45'11.96""",720,"PROFRA. MA. ELENA VILLALVAZO CALVILLO","200-1268579",21.0434333333333,-104.753322222222
"163-182.13",175,"JARDIN DE NIÑOS","SAN PEDRO LAGUNILLAS","CUASTECOMATE","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",30,"21º02'36.36""","104º45'11.96""",720,"PROFRA. ALEIDA INDA RODRIGUEZ","200-1268580",21.0434333333333,-104.753322222222
"163-182.14",176,"ESCUELA SECUNDARIA","SAN PEDRO LAGUNILLAS","CUASTECOMATE","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",280,"21º02'36.36""","104º45'11.96""",720,"JOSE LUIS HERNANDEZ YERENA","200-1268581",21.0434333333333,-104.753322222222
"163-182.15",177,"ESCUELA PRIMARIA HNOS FLORES MAGON","SAN PEDRO LAGUNILLAS","CERRO PELON","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",20,"21º06'03.42""","104º49'14.28""",940,"PROFR. JUAN JOSE ROSALES HERNANDEZ","PCM: 327-2585036  2585004  CEL. 311-1148500",21.10095,-104.820633333333
"163-182.16",178,"SALON EJIDAL","SAN PEDRO LAGUNILLAS","TEQUILITA","EJIDAL","AGUA, SANITARIOS Y LUZ ELECTRICA",72,"21º05'19.66""","104º47'55.38""",900,"SILVERIO GONZALEZ","200-1247903",21.0887944444444,-104.798716666667
"163-182.17",179,"TELESECUNDARIA","SAN PEDRO LAGUNILLAS","TEQUILITA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",78,"21º05'19.66""","104º47'55.38""",900,"DIRECTOR DEL PLANTEL","200-1247904",21.0887944444444,-104.798716666667
"163-182.18",180,"ESCUELA PRIMARIA","SAN PEDRO LAGUNILLAS","TEQUILITA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",112,"21º05'19.66""","104º47'55.38""",900,"PROFRA. CARMINA GONZALEZ AGUIRRE","200-1247905",21.0887944444444,-104.798716666667
"163-182.19",181,"JARDIN DE NIÑOS","SAN PEDRO LAGUNILLAS","CERRO PELON","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",10,"21º06'03.42""","104º49'14.28""",940,"PROFR. JUAN JOSE ROSALES HERNANDEZ","PCM: 327-2585036  2585004  CEL. 311-1148500",21.10095,-104.820633333333
